fuelRegionID,fuelYearID,monthGroupID,fuelFormulationID,marketShare,marketShareCV,FIP
100010000,2022,2,25003,1,0.5,36023
100010000,2022,2,27001,1,0.5,36023
100010000,2022,2,28001,1,0.5,36023
100010000,2022,3,90,1,0.5,36023
100010000,2022,3,9106,1,0.5,36023
100010000,2022,3,25003,1,0.5,36023
100010000,2022,3,27001,1,0.5,36023
100010000,2022,3,28001,1,0.5,36023
100010000,2022,4,90,1,0.5,36023
100010000,2022,4,9107,1,0.5,36023
100010000,2022,4,25003,1,0.5,36023
100010000,2022,4,27001,1,0.5,36023
100010000,2022,4,28001,1,0.5,36023
100010000,2022,5,90,1,0.5,36023
100010000,2022,5,9105,1,0.5,36023
100010000,2022,5,25003,1,0.5,36023
100010000,2022,5,27002,1,0.5,36023
100010000,2022,5,28001,1,0.5,36023
100010000,2022,6,90,1,0.5,36023
100010000,2022,6,9105,1,0.5,36023
100010000,2022,6,25003,1,0.5,36023
100010000,2022,6,27002,1,0.5,36023
100010000,2022,6,28001,1,0.5,36023
100010000,2022,7,90,1,0.5,36023
100010000,2022,7,9105,1,0.5,36023
100010000,2022,7,25003,1,0.5,36023
100010000,2022,7,27002,1,0.5,36023
100010000,2022,7,28001,1,0.5,36023
100010000,2022,8,90,1,0.5,36023
100010000,2022,8,9105,1,0.5,36023
100010000,2022,8,25003,1,0.5,36023
100010000,2022,8,27002,1,0.5,36023
100010000,2022,8,28001,1,0.5,36023
100010000,2022,9,90,1,0.5,36023
100010000,2022,9,9105,1,0.5,36023
100010000,2022,9,25003,1,0.5,36023
100010000,2022,9,27002,1,0.5,36023
100010000,2022,9,28001,1,0.5,36023
100010000,2022,10,90,1,0.5,36023
100010000,2022,10,9107,1,0.5,36023
100010000,2022,10,25003,1,0.5,36023
100010000,2022,10,27001,1,0.5,36023
100010000,2022,10,28001,1,0.5,36023
100010000,2022,11,90,1,0.5,36023
100010000,2022,11,9106,1,0.5,36023
100010000,2022,11,25003,1,0.5,36023
100010000,2022,11,27001,1,0.5,36023
100010000,2022,11,28001,1,0.5,36023
100010000,2022,12,90,1,0.5,36023
100010000,2022,12,9106,1,0.5,36023
100010000,2022,12,25003,1,0.5,36023
100010000,2022,12,27001,1,0.5,36023
100010000,2022,12,28001,1,0.5,36023
100010000,2022,1,90,1,0.5,36025
100010000,2022,1,9106,1,0.5,36025
100010000,2022,1,25003,1,0.5,36025
100010000,2022,1,27001,1,0.5,36025
100010000,2022,1,28001,1,0.5,36025
100010000,2022,2,90,1,0.5,36025
100010000,2022,2,9106,1,0.5,36025
100010000,2022,2,25003,1,0.5,36025
100010000,2022,2,27001,1,0.5,36025
100010000,2022,2,28001,1,0.5,36025
100010000,2022,3,90,1,0.5,36025
100010000,2022,3,9106,1,0.5,36025
100010000,2022,3,25003,1,0.5,36025
100010000,2022,3,27001,1,0.5,36025
100010000,2022,3,28001,1,0.5,36025
100010000,2022,4,90,1,0.5,36025
100010000,2022,4,9107,1,0.5,36025
100010000,2022,4,25003,1,0.5,36025
100010000,2022,4,27001,1,0.5,36025
100010000,2022,4,28001,1,0.5,36025
100010000,2022,5,90,1,0.5,36025
100010000,2022,5,9105,1,0.5,36025
100010000,2022,5,25003,1,0.5,36025
100010000,2022,5,27002,1,0.5,36025
100010000,2022,5,28001,1,0.5,36025
100010000,2022,6,90,1,0.5,36025
100010000,2022,6,9105,1,0.5,36025
100010000,2022,6,25003,1,0.5,36025
100010000,2022,6,27002,1,0.5,36025
100010000,2022,6,28001,1,0.5,36025
100010000,2022,7,90,1,0.5,36025
100010000,2022,7,9105,1,0.5,36025
100010000,2022,7,25003,1,0.5,36025
100010000,2022,7,27002,1,0.5,36025
100010000,2022,7,28001,1,0.5,36025
100010000,2022,8,90,1,0.5,36025
100010000,2022,8,9105,1,0.5,36025
100010000,2022,8,25003,1,0.5,36025
100010000,2022,8,27002,1,0.5,36025
100010000,2022,8,28001,1,0.5,36025
100010000,2022,9,90,1,0.5,36025
100010000,2022,9,9105,1,0.5,36025
100010000,2022,9,25003,1,0.5,36025
100010000,2022,9,27002,1,0.5,36025
100010000,2022,9,28001,1,0.5,36025
100010000,2022,10,90,1,0.5,36025
100010000,2022,10,9107,1,0.5,36025
100010000,2022,10,25003,1,0.5,36025
100010000,2022,10,27001,1,0.5,36025
100010000,2022,10,28001,1,0.5,36025
100010000,2022,11,90,1,0.5,36025
100010000,2022,11,9106,1,0.5,36025
100010000,2022,11,25003,1,0.5,36025
100010000,2022,11,27001,1,0.5,36025
100010000,2022,11,28001,1,0.5,36025
100010000,2022,12,90,1,0.5,36025
100010000,2022,12,9106,1,0.5,36025
100010000,2022,12,25003,1,0.5,36025
100010000,2022,12,27001,1,0.5,36025
100010000,2022,12,28001,1,0.5,36025
1170011000,2022,1,90,1,0.5,36027
1170011000,2022,1,9067,1,0.5,36027
1170011000,2022,1,25003,1,0.5,36027
1170011000,2022,1,27001,1,0.5,36027
1170011000,2022,1,28001,1,0.5,36027
1170011000,2022,2,90,1,0.5,36027
1170011000,2022,2,9067,1,0.5,36027
1170011000,2022,2,25003,1,0.5,36027
1170011000,2022,2,27001,1,0.5,36027
1170011000,2022,2,28001,1,0.5,36027
1170011000,2022,3,90,1,0.5,36027
1170011000,2022,3,9067,1,0.5,36027
1170011000,2022,3,25003,1,0.5,36027
1170011000,2022,3,27001,1,0.5,36027
1170011000,2022,3,28001,1,0.5,36027
1170011000,2022,4,90,1,0.5,36027
1170011000,2022,4,9068,1,0.5,36027
1170011000,2022,4,25003,1,0.5,36027
1170011000,2022,4,27001,1,0.5,36027
1170011000,2022,4,28001,1,0.5,36027
1170011000,2022,5,90,1,0.5,36027
1170011000,2022,5,9066,1,0.5,36027
1170011000,2022,5,25003,1,0.5,36027
1170011000,2022,5,27002,1,0.5,36027
1170011000,2022,5,28001,1,0.5,36027
1170011000,2022,6,90,1,0.5,36027
1170011000,2022,6,9066,1,0.5,36027
1170011000,2022,6,25003,1,0.5,36027
1170011000,2022,6,27002,1,0.5,36027
1170011000,2022,6,28001,1,0.5,36027
1170011000,2022,7,90,1,0.5,36027
1170011000,2022,7,9066,1,0.5,36027
1170011000,2022,7,25003,1,0.5,36027
1170011000,2022,7,27002,1,0.5,36027
1170011000,2022,7,28001,1,0.5,36027
1170011000,2022,8,90,1,0.5,36027
1170011000,2022,8,9066,1,0.5,36027
1170011000,2022,8,25003,1,0.5,36027
1170011000,2022,8,27002,1,0.5,36027
1170011000,2022,8,28001,1,0.5,36027
1170011000,2022,9,90,1,0.5,36027
1170011000,2022,9,9066,1,0.5,36027
1170011000,2022,9,25003,1,0.5,36027
1170011000,2022,9,27002,1,0.5,36027
1170011000,2022,9,28001,1,0.5,36027
1170011000,2022,10,90,1,0.5,36027
1170011000,2022,10,9068,1,0.5,36027
1170011000,2022,10,25003,1,0.5,36027
1170011000,2022,10,27001,1,0.5,36027
1170011000,2022,10,28001,1,0.5,36027
1170011000,2022,11,90,1,0.5,36027
1170011000,2022,11,9067,1,0.5,36027
1170011000,2022,11,25003,1,0.5,36027
1170011000,2022,11,27001,1,0.5,36027
1170011000,2022,11,28001,1,0.5,36027
1170011000,2022,12,90,1,0.5,36027
1170011000,2022,12,9067,1,0.5,36027
1170011000,2022,12,25003,1,0.5,36027
1170011000,2022,12,27001,1,0.5,36027
1170011000,2022,12,28001,1,0.5,36027
100010000,2022,1,90,1,0.5,36029
100010000,2022,1,9106,1,0.5,36029
100010000,2022,1,25003,1,0.5,36029
100010000,2022,1,27001,1,0.5,36029
100010000,2022,1,28001,1,0.5,36029
100010000,2022,2,90,1,0.5,36029
100010000,2022,2,9106,1,0.5,36029
100010000,2022,2,25003,1,0.5,36029
100010000,2022,2,27001,1,0.5,36029
100010000,2022,2,28001,1,0.5,36029
100010000,2022,3,90,1,0.5,36029
100010000,2022,3,9106,1,0.5,36029
100010000,2022,3,25003,1,0.5,36029
100010000,2022,3,27001,1,0.5,36029
100010000,2022,3,28001,1,0.5,36029
100010000,2022,4,90,1,0.5,36029
100010000,2022,4,9107,1,0.5,36029
100010000,2022,4,25003,1,0.5,36029
100010000,2022,4,27001,1,0.5,36029
100010000,2022,4,28001,1,0.5,36029
100010000,2022,5,90,1,0.5,36029
100010000,2022,5,9105,1,0.5,36029
100010000,2022,5,25003,1,0.5,36029
100010000,2022,5,27002,1,0.5,36029
100010000,2022,5,28001,1,0.5,36029
100010000,2022,6,90,1,0.5,36029
100010000,2022,6,9105,1,0.5,36029
100010000,2022,6,25003,1,0.5,36029
100010000,2022,6,27002,1,0.5,36029
100010000,2022,6,28001,1,0.5,36029
100010000,2022,7,90,1,0.5,36029
100010000,2022,7,9105,1,0.5,36029
100010000,2022,7,25003,1,0.5,36029
100010000,2022,7,27002,1,0.5,36029
100010000,2022,7,28001,1,0.5,36029
100010000,2022,8,90,1,0.5,36029
100010000,2022,8,9105,1,0.5,36029
100010000,2022,8,25003,1,0.5,36029
100010000,2022,8,27002,1,0.5,36029
100010000,2022,8,28001,1,0.5,36029
100010000,2022,9,90,1,0.5,36029
100010000,2022,9,9105,1,0.5,36029
100010000,2022,9,25003,1,0.5,36029
100010000,2022,9,27002,1,0.5,36029
100010000,2022,9,28001,1,0.5,36029
100010000,2022,10,90,1,0.5,36029
100010000,2022,10,9107,1,0.5,36029
100010000,2022,10,25003,1,0.5,36029
100010000,2022,10,27001,1,0.5,36029
100010000,2022,10,28001,1,0.5,36029
100010000,2022,11,90,1,0.5,36029
100010000,2022,11,9106,1,0.5,36029
100010000,2022,11,25003,1,0.5,36029
100010000,2022,11,27001,1,0.5,36029
100010000,2022,11,28001,1,0.5,36029
100010000,2022,12,90,1,0.5,36029
100010000,2022,12,9106,1,0.5,36029
100010000,2022,12,25003,1,0.5,36029
100010000,2022,12,27001,1,0.5,36029
100010000,2022,12,28001,1,0.5,36029
100010000,2022,1,90,1,0.5,36031
100010000,2022,1,9106,1,0.5,36031
100010000,2022,1,25003,1,0.5,36031
100010000,2022,1,27001,1,0.5,36031
100010000,2022,1,28001,1,0.5,36031
100010000,2022,2,90,1,0.5,36031
100010000,2022,2,9106,1,0.5,36031
100010000,2022,2,25003,1,0.5,36031
100010000,2022,2,27001,1,0.5,36031
100010000,2022,2,28001,1,0.5,36031
100010000,2022,3,90,1,0.5,36031
100010000,2022,3,9106,1,0.5,36031
100010000,2022,3,25003,1,0.5,36031
100010000,2022,3,27001,1,0.5,36031
100010000,2022,3,28001,1,0.5,36031
100010000,2022,4,90,1,0.5,36031
100010000,2022,4,9107,1,0.5,36031
100010000,2022,4,25003,1,0.5,36031
100010000,2022,4,27001,1,0.5,36031
100010000,2022,4,28001,1,0.5,36031
100010000,2022,5,90,1,0.5,36031
100010000,2022,5,9105,1,0.5,36031
100010000,2022,5,25003,1,0.5,36031
100010000,2022,5,27002,1,0.5,36031
100010000,2022,5,28001,1,0.5,36031
100010000,2022,6,90,1,0.5,36031
100010000,2022,6,9105,1,0.5,36031
100010000,2022,6,25003,1,0.5,36031
100010000,2022,6,27002,1,0.5,36031
100010000,2022,6,28001,1,0.5,36031
100010000,2022,7,90,1,0.5,36031
100010000,2022,7,9105,1,0.5,36031
100010000,2022,7,25003,1,0.5,36031
100010000,2022,7,27002,1,0.5,36031
100010000,2022,7,28001,1,0.5,36031
100010000,2022,8,90,1,0.5,36031
100010000,2022,8,9105,1,0.5,36031
100010000,2022,8,25003,1,0.5,36031
100010000,2022,8,27002,1,0.5,36031
100010000,2022,8,28001,1,0.5,36031
100010000,2022,9,90,1,0.5,36031
100010000,2022,9,9105,1,0.5,36031
100010000,2022,9,25003,1,0.5,36031
100010000,2022,9,27002,1,0.5,36031
100010000,2022,9,28001,1,0.5,36031
100010000,2022,10,90,1,0.5,36031
100010000,2022,10,9107,1,0.5,36031
100010000,2022,10,25003,1,0.5,36031
100010000,2022,10,27001,1,0.5,36031
100010000,2022,10,28001,1,0.5,36031
100010000,2022,11,90,1,0.5,36031
100010000,2022,11,9106,1,0.5,36031
100010000,2022,11,25003,1,0.5,36031
100010000,2022,11,27001,1,0.5,36031
100010000,2022,11,28001,1,0.5,36031
100010000,2022,12,90,1,0.5,36031
100010000,2022,12,9106,1,0.5,36031
100010000,2022,12,25003,1,0.5,36031
100010000,2022,12,27001,1,0.5,36031
100010000,2022,12,28001,1,0.5,36031
100010000,2022,1,90,1,0.5,36033
100010000,2022,1,9106,1,0.5,36033
100010000,2022,1,25003,1,0.5,36033
100010000,2022,1,27001,1,0.5,36033
100010000,2022,1,28001,1,0.5,36033
100010000,2022,2,90,1,0.5,36033
100010000,2022,2,9106,1,0.5,36033
100010000,2022,2,25003,1,0.5,36033
100010000,2022,2,27001,1,0.5,36033
100010000,2022,2,28001,1,0.5,36033
100010000,2022,3,90,1,0.5,36033
100010000,2022,3,9106,1,0.5,36033
100010000,2022,3,25003,1,0.5,36033
100010000,2022,3,27001,1,0.5,36033
100010000,2022,3,28001,1,0.5,36033
100010000,2022,4,90,1,0.5,36033
100010000,2022,4,9107,1,0.5,36033
100010000,2022,4,25003,1,0.5,36033
100010000,2022,4,27001,1,0.5,36033
100010000,2022,4,28001,1,0.5,36033
100010000,2022,5,90,1,0.5,36033
100010000,2022,5,9105,1,0.5,36033
100010000,2022,5,25003,1,0.5,36033
100010000,2022,5,27002,1,0.5,36033
100010000,2022,5,28001,1,0.5,36033
100010000,2022,6,90,1,0.5,36033
100010000,2022,6,9105,1,0.5,36033
100010000,2022,6,25003,1,0.5,36033
100010000,2022,6,27002,1,0.5,36033
100010000,2022,6,28001,1,0.5,36033
100010000,2022,7,90,1,0.5,36033
100010000,2022,7,9105,1,0.5,36033
100010000,2022,7,25003,1,0.5,36033
100010000,2022,7,27002,1,0.5,36033
100010000,2022,7,28001,1,0.5,36033
100010000,2022,8,90,1,0.5,36033
100010000,2022,8,9105,1,0.5,36033
100010000,2022,8,25003,1,0.5,36033
100010000,2022,8,27002,1,0.5,36033
100010000,2022,8,28001,1,0.5,36033
100010000,2022,9,90,1,0.5,36033
100010000,2022,9,9105,1,0.5,36033
100010000,2022,9,25003,1,0.5,36033
100010000,2022,9,27002,1,0.5,36033
100010000,2022,9,28001,1,0.5,36033
100010000,2022,10,90,1,0.5,36033
100010000,2022,10,9107,1,0.5,36033
100010000,2022,10,25003,1,0.5,36033
100010000,2022,10,27001,1,0.5,36033
100010000,2022,10,28001,1,0.5,36033
100010000,2022,11,90,1,0.5,36033
100010000,2022,11,9106,1,0.5,36033
100010000,2022,11,25003,1,0.5,36033
100010000,2022,11,27001,1,0.5,36033
100010000,2022,11,28001,1,0.5,36033
100010000,2022,12,90,1,0.5,36033
100010000,2022,12,9106,1,0.5,36033
100010000,2022,12,25003,1,0.5,36033
100010000,2022,12,27001,1,0.5,36033
100010000,2022,12,28001,1,0.5,36033
100010000,2022,1,90,1,0.5,36035
100010000,2022,1,9106,1,0.5,36035
100010000,2022,1,25003,1,0.5,36035
100010000,2022,1,27001,1,0.5,36035
100010000,2022,1,28001,1,0.5,36035
100010000,2022,2,90,1,0.5,36035
100010000,2022,2,9106,1,0.5,36035
100010000,2022,2,25003,1,0.5,36035
100010000,2022,2,27001,1,0.5,36035
100010000,2022,2,28001,1,0.5,36035
100010000,2022,3,90,1,0.5,36035
100010000,2022,3,9106,1,0.5,36035
100010000,2022,3,25003,1,0.5,36035
100010000,2022,3,27001,1,0.5,36035
100010000,2022,3,28001,1,0.5,36035
100010000,2022,4,90,1,0.5,36035
100010000,2022,4,9107,1,0.5,36035
100010000,2022,4,25003,1,0.5,36035
100010000,2022,4,27001,1,0.5,36035
100010000,2022,4,28001,1,0.5,36035
100010000,2022,5,90,1,0.5,36035
100010000,2022,5,9105,1,0.5,36035
100010000,2022,5,25003,1,0.5,36035
100010000,2022,5,27002,1,0.5,36035
100010000,2022,5,28001,1,0.5,36035
100010000,2022,6,90,1,0.5,36035
100010000,2022,6,9105,1,0.5,36035
100010000,2022,6,25003,1,0.5,36035
100010000,2022,6,27002,1,0.5,36035
100010000,2022,6,28001,1,0.5,36035
100010000,2022,7,90,1,0.5,36035
100010000,2022,7,9105,1,0.5,36035
100010000,2022,7,25003,1,0.5,36035
100010000,2022,7,27002,1,0.5,36035
100010000,2022,7,28001,1,0.5,36035
100010000,2022,8,90,1,0.5,36035
100010000,2022,8,9105,1,0.5,36035
100010000,2022,8,25003,1,0.5,36035
100010000,2022,8,27002,1,0.5,36035
100010000,2022,8,28001,1,0.5,36035
100010000,2022,9,90,1,0.5,36035
100010000,2022,9,9105,1,0.5,36035
100010000,2022,9,25003,1,0.5,36035
100010000,2022,9,27002,1,0.5,36035
100010000,2022,9,28001,1,0.5,36035
100010000,2022,10,90,1,0.5,36035
100010000,2022,10,9107,1,0.5,36035
100010000,2022,10,25003,1,0.5,36035
100010000,2022,10,27001,1,0.5,36035
100010000,2022,10,28001,1,0.5,36035
100010000,2022,11,90,1,0.5,36035
100010000,2022,11,9106,1,0.5,36035
100010000,2022,11,25003,1,0.5,36035
100010000,2022,11,27001,1,0.5,36035
100010000,2022,11,28001,1,0.5,36035
100010000,2022,12,90,1,0.5,36035
100010000,2022,12,9106,1,0.5,36035
100010000,2022,12,25003,1,0.5,36035
100010000,2022,12,27001,1,0.5,36035
100010000,2022,12,28001,1,0.5,36035
100010000,2022,1,90,1,0.5,36037
100010000,2022,1,9106,1,0.5,36037
100010000,2022,1,25003,1,0.5,36037
100010000,2022,1,27001,1,0.5,36037
100010000,2022,1,28001,1,0.5,36037
100010000,2022,2,90,1,0.5,36037
100010000,2022,2,9106,1,0.5,36037
100010000,2022,2,25003,1,0.5,36037
100010000,2022,2,27001,1,0.5,36037
100010000,2022,2,28001,1,0.5,36037
100010000,2022,3,90,1,0.5,36037
100010000,2022,3,9106,1,0.5,36037
100010000,2022,3,25003,1,0.5,36037
100010000,2022,3,27001,1,0.5,36037
100010000,2022,3,28001,1,0.5,36037
100010000,2022,4,90,1,0.5,36037
100010000,2022,4,9107,1,0.5,36037
100010000,2022,4,25003,1,0.5,36037
100010000,2022,4,27001,1,0.5,36037
100010000,2022,4,28001,1,0.5,36037
100010000,2022,5,90,1,0.5,36037
100010000,2022,5,9105,1,0.5,36037
100010000,2022,5,25003,1,0.5,36037
100010000,2022,5,27002,1,0.5,36037
100010000,2022,5,28001,1,0.5,36037
100010000,2022,6,90,1,0.5,36037
100010000,2022,6,9105,1,0.5,36037
100010000,2022,6,25003,1,0.5,36037
100010000,2022,6,27002,1,0.5,36037
100010000,2022,6,28001,1,0.5,36037
100010000,2022,7,90,1,0.5,36037
100010000,2022,7,9105,1,0.5,36037
100010000,2022,7,25003,1,0.5,36037
100010000,2022,7,27002,1,0.5,36037
100010000,2022,7,28001,1,0.5,36037
100010000,2022,8,90,1,0.5,36037
100010000,2022,8,9105,1,0.5,36037
100010000,2022,8,25003,1,0.5,36037
100010000,2022,8,27002,1,0.5,36037
100010000,2022,8,28001,1,0.5,36037
100010000,2022,9,90,1,0.5,36037
100010000,2022,9,9105,1,0.5,36037
100010000,2022,9,25003,1,0.5,36037
100010000,2022,9,27002,1,0.5,36037
100010000,2022,9,28001,1,0.5,36037
100010000,2022,10,90,1,0.5,36037
100010000,2022,10,9107,1,0.5,36037
100010000,2022,10,25003,1,0.5,36037
100010000,2022,10,27001,1,0.5,36037
100010000,2022,10,28001,1,0.5,36037
100010000,2022,11,90,1,0.5,36037
100010000,2022,11,9106,1,0.5,36037
100010000,2022,11,25003,1,0.5,36037
100010000,2022,11,27001,1,0.5,36037
100010000,2022,11,28001,1,0.5,36037
100010000,2022,12,90,1,0.5,36037
100010000,2022,12,9106,1,0.5,36037
100010000,2022,12,25003,1,0.5,36037
100010000,2022,12,27001,1,0.5,36037
100010000,2022,12,28001,1,0.5,36037
100010000,2022,1,90,1,0.5,36039
100010000,2022,1,9106,1,0.5,36039
100010000,2022,1,25003,1,0.5,36039
100010000,2022,1,27001,1,0.5,36039
100010000,2022,1,28001,1,0.5,36039
100010000,2022,2,90,1,0.5,36039
100010000,2022,2,9106,1,0.5,36039
100010000,2022,2,25003,1,0.5,36039
100010000,2022,2,27001,1,0.5,36039
100010000,2022,2,28001,1,0.5,36039
100010000,2022,3,90,1,0.5,36039
100010000,2022,3,9106,1,0.5,36039
100010000,2022,3,25003,1,0.5,36039
100010000,2022,3,27001,1,0.5,36039
100010000,2022,3,28001,1,0.5,36039
100010000,2022,4,90,1,0.5,36039
100010000,2022,4,9107,1,0.5,36039
100010000,2022,4,25003,1,0.5,36039
100010000,2022,4,27001,1,0.5,36039
100010000,2022,4,28001,1,0.5,36039
100010000,2022,5,90,1,0.5,36039
100010000,2022,5,9105,1,0.5,36039
100010000,2022,5,25003,1,0.5,36039
100010000,2022,5,27002,1,0.5,36039
100010000,2022,5,28001,1,0.5,36039
100010000,2022,6,90,1,0.5,36039
100010000,2022,6,9105,1,0.5,36039
100010000,2022,6,25003,1,0.5,36039
100010000,2022,6,27002,1,0.5,36039
100010000,2022,6,28001,1,0.5,36039
100010000,2022,7,90,1,0.5,36039
100010000,2022,7,9105,1,0.5,36039
100010000,2022,7,25003,1,0.5,36039
100010000,2022,7,27002,1,0.5,36039
100010000,2022,7,28001,1,0.5,36039
100010000,2022,8,90,1,0.5,36039
100010000,2022,8,9105,1,0.5,36039
100010000,2022,8,25003,1,0.5,36039
100010000,2022,8,27002,1,0.5,36039
100010000,2022,8,28001,1,0.5,36039
100010000,2022,9,90,1,0.5,36039
100010000,2022,9,9105,1,0.5,36039
100010000,2022,9,25003,1,0.5,36039
100010000,2022,9,27002,1,0.5,36039
100010000,2022,9,28001,1,0.5,36039
100010000,2022,10,90,1,0.5,36039
100010000,2022,10,9107,1,0.5,36039
100010000,2022,10,25003,1,0.5,36039
100010000,2022,10,27001,1,0.5,36039
100010000,2022,10,28001,1,0.5,36039
100010000,2022,11,90,1,0.5,36039
100010000,2022,11,9106,1,0.5,36039
100010000,2022,11,25003,1,0.5,36039
100010000,2022,11,27001,1,0.5,36039
100010000,2022,11,28001,1,0.5,36039
100010000,2022,12,90,1,0.5,36039
100010000,2022,12,9106,1,0.5,36039
100010000,2022,12,25003,1,0.5,36039
100010000,2022,12,27001,1,0.5,36039
100010000,2022,12,28001,1,0.5,36039
100010000,2022,1,90,1,0.5,36041
100010000,2022,1,9106,1,0.5,36041
100010000,2022,1,25003,1,0.5,36041
100010000,2022,1,27001,1,0.5,36041
100010000,2022,1,28001,1,0.5,36041
100010000,2022,2,90,1,0.5,36041
100010000,2022,2,9106,1,0.5,36041
100010000,2022,2,25003,1,0.5,36041
100010000,2022,2,27001,1,0.5,36041
100010000,2022,2,28001,1,0.5,36041
100010000,2022,3,90,1,0.5,36041
100010000,2022,3,9106,1,0.5,36041
100010000,2022,3,25003,1,0.5,36041
100010000,2022,3,27001,1,0.5,36041
100010000,2022,3,28001,1,0.5,36041
100010000,2022,4,90,1,0.5,36041
100010000,2022,4,9107,1,0.5,36041
100010000,2022,4,25003,1,0.5,36041
100010000,2022,4,27001,1,0.5,36041
100010000,2022,4,28001,1,0.5,36041
100010000,2022,5,90,1,0.5,36041
100010000,2022,5,9105,1,0.5,36041
100010000,2022,5,25003,1,0.5,36041
100010000,2022,5,27002,1,0.5,36041
100010000,2022,5,28001,1,0.5,36041
100010000,2022,6,90,1,0.5,36041
100010000,2022,6,9105,1,0.5,36041
100010000,2022,6,25003,1,0.5,36041
100010000,2022,6,27002,1,0.5,36041
100010000,2022,6,28001,1,0.5,36041
100010000,2022,7,90,1,0.5,36041
100010000,2022,7,9105,1,0.5,36041
100010000,2022,7,25003,1,0.5,36041
100010000,2022,7,27002,1,0.5,36041
100010000,2022,7,28001,1,0.5,36041
100010000,2022,8,90,1,0.5,36041
100010000,2022,8,9105,1,0.5,36041
100010000,2022,8,25003,1,0.5,36041
100010000,2022,8,27002,1,0.5,36041
100010000,2022,8,28001,1,0.5,36041
100010000,2022,9,90,1,0.5,36041
100010000,2022,9,9105,1,0.5,36041
100010000,2022,9,25003,1,0.5,36041
100010000,2022,9,27002,1,0.5,36041
100010000,2022,9,28001,1,0.5,36041
100010000,2022,10,90,1,0.5,36041
100010000,2022,10,9107,1,0.5,36041
100010000,2022,10,25003,1,0.5,36041
100010000,2022,10,27001,1,0.5,36041
100010000,2022,10,28001,1,0.5,36041
100010000,2022,11,90,1,0.5,36041
100010000,2022,11,9106,1,0.5,36041
100010000,2022,11,25003,1,0.5,36041
100010000,2022,11,27001,1,0.5,36041
100010000,2022,11,28001,1,0.5,36041
100010000,2022,12,90,1,0.5,36041
100010000,2022,12,9106,1,0.5,36041
100010000,2022,12,25003,1,0.5,36041
100010000,2022,12,27001,1,0.5,36041
100010000,2022,12,28001,1,0.5,36041
100010000,2022,1,90,1,0.5,36043
100010000,2022,1,9106,1,0.5,36043
100010000,2022,1,25003,1,0.5,36043
100010000,2022,1,27001,1,0.5,36043
100010000,2022,1,28001,1,0.5,36043
100010000,2022,2,90,1,0.5,36043
100010000,2022,2,9106,1,0.5,36043
100010000,2022,2,25003,1,0.5,36043
100010000,2022,2,27001,1,0.5,36043
100010000,2022,2,28001,1,0.5,36043
100010000,2022,3,90,1,0.5,36043
100010000,2022,3,9106,1,0.5,36043
100010000,2022,3,25003,1,0.5,36043
100010000,2022,3,27001,1,0.5,36043
100010000,2022,3,28001,1,0.5,36043
100010000,2022,4,90,1,0.5,36043
100010000,2022,4,9107,1,0.5,36043
100010000,2022,4,25003,1,0.5,36043
100010000,2022,4,27001,1,0.5,36043
100010000,2022,4,28001,1,0.5,36043
100010000,2022,5,90,1,0.5,36043
100010000,2022,5,9105,1,0.5,36043
100010000,2022,5,25003,1,0.5,36043
100010000,2022,5,27002,1,0.5,36043
100010000,2022,5,28001,1,0.5,36043
100010000,2022,6,90,1,0.5,36043
100010000,2022,6,9105,1,0.5,36043
100010000,2022,6,25003,1,0.5,36043
100010000,2022,6,27002,1,0.5,36043
100010000,2022,6,28001,1,0.5,36043
100010000,2022,7,90,1,0.5,36043
100010000,2022,7,9105,1,0.5,36043
100010000,2022,7,25003,1,0.5,36043
100010000,2022,7,27002,1,0.5,36043
100010000,2022,7,28001,1,0.5,36043
100010000,2022,8,90,1,0.5,36043
100010000,2022,8,9105,1,0.5,36043
100010000,2022,8,25003,1,0.5,36043
100010000,2022,8,27002,1,0.5,36043
100010000,2022,8,28001,1,0.5,36043
100010000,2022,9,90,1,0.5,36043
100010000,2022,9,9105,1,0.5,36043
100010000,2022,9,25003,1,0.5,36043
100010000,2022,9,27002,1,0.5,36043
100010000,2022,9,28001,1,0.5,36043
100010000,2022,10,90,1,0.5,36043
100010000,2022,10,9107,1,0.5,36043
100010000,2022,10,25003,1,0.5,36043
100010000,2022,10,27001,1,0.5,36043
100010000,2022,10,28001,1,0.5,36043
100010000,2022,11,90,1,0.5,36043
100010000,2022,11,9106,1,0.5,36043
100010000,2022,11,25003,1,0.5,36043
100010000,2022,11,27001,1,0.5,36043
100010000,2022,11,28001,1,0.5,36043
100010000,2022,12,90,1,0.5,36043
100010000,2022,12,9106,1,0.5,36043
100010000,2022,12,25003,1,0.5,36043
100010000,2022,12,27001,1,0.5,36043
100010000,2022,12,28001,1,0.5,36043
100010000,2022,1,90,1,0.5,36045
100010000,2022,1,9106,1,0.5,36045
100010000,2022,1,25003,1,0.5,36045
100010000,2022,1,27001,1,0.5,36045
100010000,2022,1,28001,1,0.5,36045
100010000,2022,2,90,1,0.5,36045
100010000,2022,2,9106,1,0.5,36045
100010000,2022,2,25003,1,0.5,36045
100010000,2022,2,27001,1,0.5,36045
100010000,2022,2,28001,1,0.5,36045
100010000,2022,3,90,1,0.5,36045
100010000,2022,3,9106,1,0.5,36045
100010000,2022,3,25003,1,0.5,36045
100010000,2022,3,27001,1,0.5,36045
